loss_db,state,method,q_opt,phi0,phi1,rate,e_x,e_z,p_xx,q_pso,rate_pso,iterations,stable_001,neighbor_delta,elapsed_s
0.0,VSS,PSO_1D_q_fixed_phases,0.889321637093076,0.0,3.141592653589793,0.09553281437579822,0.029290538804796002,0.05858107760959231,0.10455351976244012,0.889321637093076,0.09553281437579822,120,True,0.0,70.32196021080017
6.0,VSS,PSO_1D_q_fixed_phases,0.919609996071751,0.0,3.141592653589793,0.03449653814117711,0.03074179867085097,0.06148357866030178,0.03947879256975205,0.919609996071751,0.03449653814117711,120,True,0.0,71.07869458198547
12.0,VSS,PSO_1D_q_fixed_phases,0.9293029455399314,0.0,3.141592653589793,0.015166634013658559,0.03118611377619099,0.06237217164966978,0.017600628097127168,0.9293029455399314,0.015166634013658559,96,True,0.0,58.33185887336731
18.0,VSS,PSO_1D_q_fixed_phases,0.933331224861162,0.0,3.141592653589793,0.0071607953524985635,0.031368299872320406,0.06273646959095237,0.008357889192252235,0.933331224861162,0.0071607953524985635,92,True,0.0,55.09883379936218
24.0,VSS,PSO_1D_q_fixed_phases,0.9351819930036231,0.0,3.141592653589793,0.003487567164615218,0.03145202016279563,0.062903762028109,0.004081386648812297,0.9351819930036231,0.003487567164615218,118,True,0.0,69.47769856452942
30.0,VSS,PSO_1D_q_fixed_phases,0.9360709816791857,0.0,3.141592653589793,0.001723493895561643,0.031493247603699724,0.06298592132829477,0.0020195795444451436,0.9360709816791857,0.001723493895561643,108,True,0.0,64.17046594619751
36.0,VSS,PSO_1D_q_fixed_phases,0.9365066812790943,0.0,3.141592653589793,0.0008577432894175417,0.03151558727039757,0.06303001090544816,0.0010058049347621445,0.9365066812790988,0.0008577432894175394,40,True,-4.440892098500626e-15,28.17030429840088
42.0,VSS,PSO_1D_q_fixed_phases,0.9367209762743605,0.0,3.141592653589793,0.00042834530529100803,0.03153108625940342,0.06305983218788383,0.000502526811965845,0.9367209762743605,0.00042834530529100803,97,True,0.0,57.76564049720764
48.0,VSS,PSO_1D_q_fixed_phases,0.9368249713933654,0.0,3.141592653589793,0.00021425446166520033,0.03154722202015849,0.06308975597772239,0.0002514826841267465,0.9368249713933676,0.00021425446166520009,48,True,-2.220446049250313e-15,32.295984506607056
54.0,VSS,PSO_1D_q_fixed_phases,0.9368696316093548,0.0,3.141592653589793,0.00010723398530199723,0.03157286097817642,0.06313634990536414,0.0001259637080332426,0.9368696316093548,0.00010723398530199723,98,True,0.0,59.3384690284729
60.0,VSS,PSO_1D_q_fixed_phases,0.9368789424142571,0.0,3.141592653589793,5.366660712819727e-05,0.03161994055882045,0.06322116465046163,6.312906355811561e-05,0.9368789424142571,5.366660712819727e-05,89,True,0.0,54.30415916442871
66.0,VSS,PSO_1D_q_fixed_phases,0.9368572479937901,0.0,3.141592653589793,2.6836895302267248e-05,0.03171193225697987,0.06338650894412391,3.1655839506674315e-05,0.9368572479937901,2.6836895302267248e-05,72,True,0.0,45.618483543395996
72.0,VSS,PSO_1D_q_fixed_phases,0.9367942447611303,0.0,3.141592653589793,1.3394673273611605e-05,0.031893993104576,0.06371346239020706,1.58864413886859e-05,0.9367942447611325,1.3394673273611581e-05,83,True,-2.220446049250313e-15,51.22421908378601
78.0,VSS,PSO_1D_q_fixed_phases,0.9366603782025558,0.0,3.141592653589793,6.658879465667447e-06,0.03225452593423397,0.0643604532035574,7.983953913878876e-06,0.936660378202558,6.658879465667445e-06,88,True,-2.220446049250313e-15,84.613685131073
84.0,VSS,PSO_1D_q_fixed_phases,0.9363963616743298,0.0,3.141592653589793,3.2835973630865702e-06,0.03296464440807256,0.06563322703533053,4.0231101006719e-06,0.9363963616743298,3.2835973630865702e-06,39,True,0.0,26.927490711212158
90.0,VSS,PSO_1D_q_fixed_phases,0.9358930747025452,0.0,3.141592653589793,1.5926570475657038e-06,0.03434994809077156,0.06811090890492422,2.037236861536202e-06,0.9358930747025497,1.5926570475657015e-06,70,True,-4.440892098500626e-15,71.33340430259705
96.0,VSS,PSO_1D_q_fixed_phases,0.934984587873609,0.0,3.141592653589793,7.463707543688672e-07,0.03700074334330571,0.07283297408080347,1.0404242789413012e-06,0.934984587873609,7.463707543688672e-07,58,True,0.0,49.56978797912598
102.0,VSS,PSO_1D_q_fixed_phases,0.9334681273176532,0.0,3.141592653589793,3.2425794508873536e-07,0.041933406370746905,0.08156014436377684,5.384812942059316e-07,0.9334681273176532,3.2425794508873536e-07,49,True,0.0,98.00960850715637
108.0,VSS,PSO_1D_q_fixed_phases,0.931240038406221,0.0,3.141592653589793,1.1591802339455406e-07,0.05079010338470031,0.09706676775926129,2.8373829179617674e-07,0.931240038406221,1.1591802339455406e-07,70,True,0.0,206.74180483818054
114.0,VSS,PSO_1D_q_fixed_phases,0.9286458852900277,0.0,3.141592653589793,1.607715710089528e-08,0.06615036855722733,0.12360315860380147,1.5237016159303586e-07,0.9286458852900299,1.607715710089525e-08,72,True,-2.220446049250313e-15,229.5186800956726
120.0,VSS,PSO_1D_q_fixed_phases,,,,1e-20,,,,,1e-20,25,False,,52.38298583030701
